A_local,B_global,shapeTani_A_to_B,shapeTani_B_to_A,shapeTani_symmetric_mean,shapeTani_asymmetry,shapeProtrude_A_from_B,shapeProtrude_B_from_A,centroid_dist_AB_Angstrom,nHeavy_A,nHeavy_B,delta_nHeavy_B_minus_A,abs_delta_nHeavy,A_sdf,B_sdf,rdkit_version
x0397,x1093,0.7614706321924973,0.7648551806509406,0.7631629064217189,0.0033845484584432706,0.5750798722044729,0.5816733067729084,3.1370128977523843,15,19,4,4,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf,2025.09.6
x1093,x0397,0.7648551806509406,0.7614706321924973,0.7631629064217189,0.0033845484584432706,0.5816733067729084,0.5750798722044729,3.1370128977523843,19,15,-4,4,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,2025.09.6
x0072,x0434,0.7651891151805579,0.7677660659639578,0.7664775905722578,0.002576950783399923,0.5967078189300411,0.6004679730915472,4.280790448009338,13,16,3,3,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0072__5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1/5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,2025.09.6
x0434,x0072,0.7677660659639578,0.7651891151805579,0.7664775905722578,0.002576950783399923,0.6004679730915472,0.5967078189300411,4.280790448009338,16,13,-3,3,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0072__5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1/5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1_ligand.sdf,2025.09.6
x0434,x0397,0.7707792207792208,0.7717020931364595,0.7712406569578402,0.0009228723572387576,0.6250663834306956,0.6261955366631243,3.4242405770522657,16,15,-1,1,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,2025.09.6
x0397,x0434,0.7717020931364595,0.7707792207792208,0.7712406569578402,0.0009228723572387576,0.6261955366631243,0.6250663834306956,3.4242405770522657,15,16,1,1,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,2025.09.6
x0434,x0305,0.7955710102489019,0.801168522914004,0.7983697665814529,0.005597512665102111,0.5952898550724638,0.6051486584481508,3.954044245132466,16,11,-5,5,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,2025.09.6
x0305,x0434,0.801168522914004,0.7955710102489019,0.7983697665814529,0.005597512665102111,0.6051486584481508,0.5952898550724638,3.954044245132466,11,16,5,5,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,2025.09.6
x1093,x0072,0.8123320394147506,0.8126123427201918,0.8124721910674713,0.0002803033054411541,0.6311619718309859,0.6319505736981466,4.403464383391821,19,13,-6,6,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0072__5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1/5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1_ligand.sdf,2025.09.6
x0072,x1093,0.8126123427201918,0.8123320394147506,0.8124721910674713,0.0002803033054411541,0.6319505736981466,0.6311619718309859,4.403464383391821,13,19,6,6,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0072__5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1/5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf,2025.09.6
x0305,x1093,0.8220393675379155,0.8226171243941842,0.8223282459660499,0.0005777568562687074,0.5992005813953488,0.6020297209133744,4.189558267928619,11,19,8,8,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf,2025.09.6
