grid_id	pair_id	A_local	B_global	seed	lambda_global	n_samples_requested	source	experiment_id	sdf_path	A_complex	B_ligand	fixed_json	fixed_atoms	original_sdf_path	release_sdf_path
10	x0874_x1093	x0874	x1093	3303	0.0	10	reuse_exp04	exp04_x0874_x1093_seed_3303_lambda_0.0	artifacts/phase0_exp04_seed_replicates/x0874_x1093/seed_3303/lambda_0.0/exp04_x0874_x1093_seed_3303_lambda_0.0_n10.sdf	data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_complex.pdb	data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf	data/mpro/manifests/b0_x0874_T54_fixed_atoms.json	C02 C04 C05 C06 C07 C08 C09	artifacts/phase0_exp04_seed_replicates/x0874_x1093/seed_3303/lambda_0.0/exp04_x0874_x1093_seed_3303_lambda_0.0_n10.sdf	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_3303/lambda_0.0/exp04_x0874_x1093_seed_3303_lambda_0.0_n10.sdf
11	x0874_x1093	x0874	x1093	3303	20.0	10	generate_exp06	exp06_x0874_x1093_seed_3303_lambda_20.0	artifacts/phase0_exp06_full_lambda_grid/x0874_x1093/seed_3303/lambda_20.0/exp06_x0874_x1093_seed_3303_lambda_20.0_n10.sdf	data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_complex.pdb	data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf	data/mpro/manifests/b0_x0874_T54_fixed_atoms.json	C02 C04 C05 C06 C07 C08 C09	artifacts/phase0_exp06_full_lambda_grid/x0874_x1093/seed_3303/lambda_20.0/exp06_x0874_x1093_seed_3303_lambda_20.0_n10.sdf	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_3303/lambda_20.0/exp06_x0874_x1093_seed_3303_lambda_20.0_n10.sdf
12	x0874_x1093	x0874	x1093	3303	50.0	10	reuse_exp04	exp04_x0874_x1093_seed_3303_lambda_50.0	artifacts/phase0_exp04_seed_replicates/x0874_x1093/seed_3303/lambda_50.0/exp04_x0874_x1093_seed_3303_lambda_50.0_n10.sdf	data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_complex.pdb	data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf	data/mpro/manifests/b0_x0874_T54_fixed_atoms.json	C02 C04 C05 C06 C07 C08 C09	artifacts/phase0_exp04_seed_replicates/x0874_x1093/seed_3303/lambda_50.0/exp04_x0874_x1093_seed_3303_lambda_50.0_n10.sdf	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_3303/lambda_50.0/exp04_x0874_x1093_seed_3303_lambda_50.0_n10.sdf
13	x0874_x1093	x0874	x1093	3303	100.0	10	reuse_exp04	exp04_x0874_x1093_seed_3303_lambda_100.0	artifacts/phase0_exp04_seed_replicates/x0874_x1093/seed_3303/lambda_100.0/exp04_x0874_x1093_seed_3303_lambda_100.0_n10.sdf	data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_complex.pdb	data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf	data/mpro/manifests/b0_x0874_T54_fixed_atoms.json	C02 C04 C05 C06 C07 C08 C09	artifacts/phase0_exp04_seed_replicates/x0874_x1093/seed_3303/lambda_100.0/exp04_x0874_x1093_seed_3303_lambda_100.0_n10.sdf	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_3303/lambda_100.0/exp04_x0874_x1093_seed_3303_lambda_100.0_n10.sdf
14	x0874_x1093	x0874	x1093	3303	200.0	10	generate_exp06	exp06_x0874_x1093_seed_3303_lambda_200.0	artifacts/phase0_exp06_full_lambda_grid/x0874_x1093/seed_3303/lambda_200.0/exp06_x0874_x1093_seed_3303_lambda_200.0_n10.sdf	data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_complex.pdb	data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf	data/mpro/manifests/b0_x0874_T54_fixed_atoms.json	C02 C04 C05 C06 C07 C08 C09	artifacts/phase0_exp06_full_lambda_grid/x0874_x1093/seed_3303/lambda_200.0/exp06_x0874_x1093_seed_3303_lambda_200.0_n10.sdf	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_3303/lambda_200.0/exp06_x0874_x1093_seed_3303_lambda_200.0_n10.sdf
15	x0874_x1093	x0874	x1093	4404	0.0	10	reuse_exp04	exp04_x0874_x1093_seed_4404_lambda_0.0	artifacts/phase0_exp04_seed_replicates/x0874_x1093/seed_4404/lambda_0.0/exp04_x0874_x1093_seed_4404_lambda_0.0_n10.sdf	data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_complex.pdb	data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf	data/mpro/manifests/b0_x0874_T54_fixed_atoms.json	C02 C04 C05 C06 C07 C08 C09	artifacts/phase0_exp04_seed_replicates/x0874_x1093/seed_4404/lambda_0.0/exp04_x0874_x1093_seed_4404_lambda_0.0_n10.sdf	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_4404/lambda_0.0/exp04_x0874_x1093_seed_4404_lambda_0.0_n10.sdf
16	x0874_x1093	x0874	x1093	4404	20.0	10	generate_exp06	exp06_x0874_x1093_seed_4404_lambda_20.0	artifacts/phase0_exp06_full_lambda_grid/x0874_x1093/seed_4404/lambda_20.0/exp06_x0874_x1093_seed_4404_lambda_20.0_n10.sdf	data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_complex.pdb	data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf	data/mpro/manifests/b0_x0874_T54_fixed_atoms.json	C02 C04 C05 C06 C07 C08 C09	artifacts/phase0_exp06_full_lambda_grid/x0874_x1093/seed_4404/lambda_20.0/exp06_x0874_x1093_seed_4404_lambda_20.0_n10.sdf	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_4404/lambda_20.0/exp06_x0874_x1093_seed_4404_lambda_20.0_n10.sdf
17	x0874_x1093	x0874	x1093	4404	50.0	10	reuse_exp04	exp04_x0874_x1093_seed_4404_lambda_50.0	artifacts/phase0_exp04_seed_replicates/x0874_x1093/seed_4404/lambda_50.0/exp04_x0874_x1093_seed_4404_lambda_50.0_n10.sdf	data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_complex.pdb	data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf	data/mpro/manifests/b0_x0874_T54_fixed_atoms.json	C02 C04 C05 C06 C07 C08 C09	artifacts/phase0_exp04_seed_replicates/x0874_x1093/seed_4404/lambda_50.0/exp04_x0874_x1093_seed_4404_lambda_50.0_n10.sdf	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_4404/lambda_50.0/exp04_x0874_x1093_seed_4404_lambda_50.0_n10.sdf
18	x0874_x1093	x0874	x1093	4404	100.0	10	reuse_exp04	exp04_x0874_x1093_seed_4404_lambda_100.0	artifacts/phase0_exp04_seed_replicates/x0874_x1093/seed_4404/lambda_100.0/exp04_x0874_x1093_seed_4404_lambda_100.0_n10.sdf	data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_complex.pdb	data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf	data/mpro/manifests/b0_x0874_T54_fixed_atoms.json	C02 C04 C05 C06 C07 C08 C09	artifacts/phase0_exp04_seed_replicates/x0874_x1093/seed_4404/lambda_100.0/exp04_x0874_x1093_seed_4404_lambda_100.0_n10.sdf	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_4404/lambda_100.0/exp04_x0874_x1093_seed_4404_lambda_100.0_n10.sdf
19	x0874_x1093	x0874	x1093	4404	200.0	10	generate_exp06	exp06_x0874_x1093_seed_4404_lambda_200.0	artifacts/phase0_exp06_full_lambda_grid/x0874_x1093/seed_4404/lambda_200.0/exp06_x0874_x1093_seed_4404_lambda_200.0_n10.sdf	data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_complex.pdb	data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf	data/mpro/manifests/b0_x0874_T54_fixed_atoms.json	C02 C04 C05 C06 C07 C08 C09	artifacts/phase0_exp06_full_lambda_grid/x0874_x1093/seed_4404/lambda_200.0/exp06_x0874_x1093_seed_4404_lambda_200.0_n10.sdf	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_4404/lambda_200.0/exp06_x0874_x1093_seed_4404_lambda_200.0_n10.sdf
