pair_id	A_local	B_global	seed	lambda_global	experiment_id	sample	sdf_path	sanitize_status	audit_ok	n_atoms_full	n_heavy_full	n_total_fragments	n_heavy_fragments	heavy_connected	parent_fragment_id	parent_heavy_atoms	parent_heavy_fraction	fixed_atoms_expected	fixed_atoms_matched	fixed_atoms_within_0p2A	fixed_match_max_distance	anchor_all_same_fragment	anchor_fragment_id	anchor_heavy_atoms	anchor_heavy_fraction	anchor_component_is_parent	minimum_heavy_interfragment_distance	minimum_covalent_radius_ratio	closest_atom_1	closest_atom_2	closest_atom_1_symbol	closest_atom_2_symbol	closest_pair_both_valence_headroom	interfragment_class	full_shape_ok	full_tanimoto_A	full_tanimoto_B	full_protrude_A	full_protrude_B	full_strict_dual	parent_shape_ok	parent_tanimoto_A	parent_tanimoto_B	parent_protrude_A	parent_protrude_B	parent_strict_dual	anchor_shape_ok	anchor_tanimoto_A	anchor_tanimoto_B	anchor_protrude_A	anchor_protrude_B	anchor_strict_dual
x0874_x1093	x0874	x1093	1101	20.0	exp06_x0874_x1093_seed_1101_lambda_20.0	2	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_1101/lambda_20.0/exp06_x0874_x1093_seed_1101_lambda_20.0_n10.sdf	OK	TRUE	23	23	7	7	FALSE	3	12	0.5217391304347826	7	7	7	0.07540557008603706	TRUE	3	12	0.5217391304347826	TRUE	2.0971802497639542	1.2699868180875162	11	22	S	C	FALSE	close_nonbonded	TRUE	0.6846811819595645	0.7678493687418372	0.2773982773982774	0.5284103471147469	FALSE	TRUE	0.5760208514335361	0.7497977018935102	0.3857772183763373	0.5139893115372525	FALSE	TRUE	0.5760208514335361	0.7497977018935102	0.3857772183763373	0.5139893115372525	FALSE
x0874_x1093	x0874	x1093	1101	20.0	exp06_x0874_x1093_seed_1101_lambda_20.0	3	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_1101/lambda_20.0/exp06_x0874_x1093_seed_1101_lambda_20.0_n10.sdf	OK	TRUE	12	12	4	4	FALSE	3	6	0.5	7	7	7	0.08633655077659799	FALSE		0	0.0	FALSE	1.437999304589539	0.9460521740720651	5	7	C	C	FALSE	bond_distance_valence_limited	TRUE	0.5188950276243094	0.693734335839599	0.3452631578947368	0.44420861127956335	FALSE	TRUE	0.5093896713615024	0.8591575091575091	0.011235955056179775	0.5419892793329363	FALSE	FALSE					FALSE
x0874_x1093	x0874	x1093	1101	20.0	exp06_x0874_x1093_seed_1101_lambda_20.0	4	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_1101/lambda_20.0/exp06_x0874_x1093_seed_1101_lambda_20.0_n10.sdf	OK	TRUE	7	7	1	1	TRUE	0	7	1.0	7	7	7	0.08117881497040959	TRUE	0	7	1.0	TRUE								single_heavy_component	TRUE	0.43242450894165935	0.811736832513213	0.010730710270822688	0.47536820721178263	FALSE	TRUE	0.43242450894165935	0.811736832513213	0.010730710270822688	0.47536820721178263	FALSE	TRUE	0.43242450894165935	0.811736832513213	0.010730710270822688	0.47536820721178263	FALSE
x0874_x1093	x0874	x1093	1101	20.0	exp06_x0874_x1093_seed_1101_lambda_20.0	5	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_1101/lambda_20.0/exp06_x0874_x1093_seed_1101_lambda_20.0_n10.sdf	OK	TRUE	24	24	8	8	FALSE	1	12	0.5	7	7	7	0.07703246069028594	TRUE	1	12	0.5	TRUE	2.322156540804259	1.2689380004394857	2	13	C	P	FALSE	close_nonbonded	TRUE	0.7484336209953896	0.8471444018480291	0.36779560308972076	0.6572625082653736	FALSE	TRUE	0.5623726511206701	0.8121730860675226	0.3526456798392498	0.6028820375335121	FALSE	TRUE	0.5623726511206701	0.8121730860675226	0.3526456798392498	0.6028820375335121	FALSE
x0874_x1093	x0874	x1093	1101	20.0	exp06_x0874_x1093_seed_1101_lambda_20.0	6	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_1101/lambda_20.0/exp06_x0874_x1093_seed_1101_lambda_20.0_n10.sdf	OK	TRUE	28	28	11	11	FALSE	2	15	0.5357142857142857	7	7	7	0.0997246208315667	TRUE	2	15	0.5357142857142857	TRUE	1.9874722639574125	1.303199918107718	13	7	S	C	FALSE	close_nonbonded	TRUE	0.7528754518567203	0.8649602026049205	0.3352975839717148	0.6689578713968958	FALSE	TRUE	0.544700647249191	0.7831535995336637	0.33579226910593096	0.6120959332638165	FALSE	TRUE	0.544700647249191	0.7831535995336637	0.33579226910593096	0.6120959332638165	FALSE
x0874_x1093	x0874	x1093	1101	20.0	exp06_x0874_x1093_seed_1101_lambda_20.0	7	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_1101/lambda_20.0/exp06_x0874_x1093_seed_1101_lambda_20.0_n10.sdf	OK	TRUE	18	18	5	5	FALSE	1	11	0.6111111111111112	7	7	7	0.09968450230602449	TRUE	1	11	0.6111111111111112	TRUE	0.317579911203465	0.20893415210754276	5	17	C	C	FALSE	bond_distance_valence_limited	TRUE	0.6286192468619247	0.6651480637813212	0.34349112426035505	0.4795308696614295	FALSE	TRUE	0.4405541561712846	0.7372225090345895	0.20621872766261615	0.4565836298932384	FALSE	TRUE	0.4405541561712846	0.7372225090345895	0.20621872766261615	0.4565836298932384	FALSE
x0874_x1093	x0874	x1093	1101	20.0	exp06_x0874_x1093_seed_1101_lambda_20.0	8	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_1101/lambda_20.0/exp06_x0874_x1093_seed_1101_lambda_20.0_n10.sdf	OK	TRUE	11	11	3	3	FALSE	2	8	0.7272727272727273	7	7	7	0.07218725649309649	TRUE	2	8	0.7272727272727273	TRUE	2.394982672171137	1.4908161824035966	0	9	S	C	FALSE	close_nonbonded	TRUE	0.4708020904339923	0.6598639455782312	0.30164917541229386	0.3993993993993994	FALSE	TRUE	0.36236119228521335	0.7668980635732554	0.015787099684258007	0.42600089968511023	FALSE	TRUE	0.36236119228521335	0.7668980635732554	0.015787099684258007	0.42600089968511023	FALSE
x0874_x1093	x0874	x1093	1101	20.0	exp06_x0874_x1093_seed_1101_lambda_20.0	9	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_1101/lambda_20.0/exp06_x0874_x1093_seed_1101_lambda_20.0_n10.sdf	OK	TRUE	28	28	10	10	FALSE	2	14	0.5	7	7	7	0.09424966843443014	TRUE	2	14	0.5	TRUE	1.9296787297371534	1.3589286829134883	23	24	O	C	FALSE	close_nonbonded	TRUE	0.7552338530066816	0.8137706175680859	0.3475808845354705	0.5729052122278425	FALSE	TRUE	0.528815022663501	0.7687200864597807	0.3537596210775607	0.5662999420961204	FALSE	TRUE	0.528815022663501	0.7687200864597807	0.3537596210775607	0.5662999420961204	FALSE
x0874_x1093	x0874	x1093	1101	20.0	exp06_x0874_x1093_seed_1101_lambda_20.0	10	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_1101/lambda_20.0/exp06_x0874_x1093_seed_1101_lambda_20.0_n10.sdf	OK	TRUE	27	27	8	8	FALSE	0	15	0.5555555555555556	7	7	7	0.05565069631190621	TRUE	0	15	0.5555555555555556	TRUE	2.0607855298405013	1.3110413421444587	24	16	C	S	FALSE	close_nonbonded	TRUE	0.6357035553329995	0.6825518831667948	0.14462081128747795	0.36053970360539705	FALSE	TRUE	0.3736164445448385	0.7153609831029186	0.17739543162266388	0.517196456487754	FALSE	TRUE	0.3736164445448385	0.7153609831029186	0.17739543162266388	0.517196456487754	FALSE
x0874_x1093	x0874	x1093	1101	50.0	exp04_x0874_x1093_seed_1101_lambda_50.0	1	artifacts/releases/exp06_canonical_2026-06-12/generated/x0874_x1093/seed_1101/lambda_50.0/exp04_x0874_x1093_seed_1101_lambda_50.0_n10.sdf	OK	TRUE	15	15	4	4	FALSE	0	10	0.6666666666666666	7	7	7	0.07467931440499459	TRUE	0	10	0.6666666666666666	TRUE	2.3655157999895082	1.3069148066240377	6	7	C	S	FALSE	close_nonbonded	TRUE	0.49898083978801466	0.6226171243941842	0.27406969875959836	0.41526908635794746	FALSE	TRUE	0.3211741236819607	0.7388167388167388	0.04758096761295482	0.413290113452188	FALSE	TRUE	0.3211741236819607	0.7388167388167388	0.04758096761295482	0.413290113452188	FALSE
