lambda_global	n	fragments_median	fragments_q25	fragments_q75	distance_median	distance_q25	distance_q75	radius_ratio_median	radius_ratio_q25	radius_ratio_q75
0.0	24	2.0	2.0	2.0	1.60657203080336	1.5203082278056395	2.4175396878337647	1.0781262029488965	1.041608584276763	1.5474176098849362
20.0	128	5.0	3.0	8.0	2.086157303151282	1.8822967254183822	2.346768920910991	1.3284507178763878	1.2540083621363114	1.4889619551799158
50.0	134	6.0	4.0	9.0	1.855909271295113	0.33866215291243057	2.4488140842037893	1.1495634565922779	0.2240615508370993	1.6067907909730943
100.0	138	7.0	5.0	9.0	0.28665569929971174	0.14899144561655336	1.8418002164146237	0.18960973251740076	0.1020732511622523	1.17036313679453
200.0	138	6.0	5.0	9.0	1.1515299139674067	0.1539385280452904	2.150005483185935	0.7118170804504802	0.10127534739821735	1.4191184669916657
