pair_id	n	spearman_rho	parent_fraction_median	inflation_median
all pairs	562	-0.2070710399127549	0.5156402737047898	0.053222105028513045
x0434_x1093	184	-0.30144493868577377	0.5240274599542334	0.038528899166042796
x0434_x2193	179	-0.08183124476690752	0.5	0.05559101230039232
x0874_x1093	199	-0.18038088416537026	0.5	0.0648254473792198
