pair_id	A_local	B_global	seed	lambda_global	requested	n_records	n_auditable	n_heavy_connected	heavy_connected_rate	n_anchor_same_fragment	anchor_same_fragment_rate	n_anchor_component_is_parent	anchor_component_is_parent_rate	n_fragmented	n_potential_missing_bond	n_bond_distance_valence_limited	n_close_nonbonded	n_geometrically_separated	n_heavy_fragments_mean	n_heavy_fragments_median	n_heavy_fragments_sd	n_heavy_fragments_minimum	n_heavy_fragments_maximum	parent_heavy_fraction_mean	parent_heavy_fraction_median	parent_heavy_fraction_sd	parent_heavy_fraction_minimum	parent_heavy_fraction_maximum	anchor_heavy_fraction_mean	anchor_heavy_fraction_median	anchor_heavy_fraction_sd	anchor_heavy_fraction_minimum	anchor_heavy_fraction_maximum	minimum_heavy_interfragment_distance_mean	minimum_heavy_interfragment_distance_median	minimum_heavy_interfragment_distance_sd	minimum_heavy_interfragment_distance_minimum	minimum_heavy_interfragment_distance_maximum	minimum_covalent_radius_ratio_mean	minimum_covalent_radius_ratio_median	minimum_covalent_radius_ratio_sd	minimum_covalent_radius_ratio_minimum	minimum_covalent_radius_ratio_maximum	full_tanimoto_A_mean	full_tanimoto_A_sd	full_tanimoto_B_mean	full_tanimoto_B_sd	full_protrude_A_mean	full_protrude_A_sd	full_protrude_B_mean	full_protrude_B_sd	full_strict_dual	parent_tanimoto_A_mean	parent_tanimoto_A_sd	parent_tanimoto_B_mean	parent_tanimoto_B_sd	parent_protrude_A_mean	parent_protrude_A_sd	parent_protrude_B_mean	parent_protrude_B_sd	parent_strict_dual	anchor_tanimoto_A_mean	anchor_tanimoto_A_sd	anchor_tanimoto_B_mean	anchor_tanimoto_B_sd	anchor_protrude_A_mean	anchor_protrude_A_sd	anchor_protrude_B_mean	anchor_protrude_B_sd	anchor_strict_dual	connected_tanimoto_A_mean	connected_tanimoto_A_sd	connected_tanimoto_B_mean	connected_tanimoto_B_sd	connected_protrude_A_mean	connected_protrude_A_sd	connected_protrude_B_mean	connected_protrude_B_sd	connected_strict_dual
x0874_x1093	x0874	x1093	1101	0.0	10	9	9	8	0.8888888888888888	8	0.8888888888888888	8	1.0	1	0	1	0	0	1.2222222222222223	1.0	0.6666666666666666	1.0	3.0	0.9841269841269841	1.0	0.04761904761904763	0.8571428571428571	1.0	0.8888888888888888	1.0	0.3333333333333333	0.0	1.0	1.5862376871074524	1.5862376871074524	0.0	1.5862376871074524	1.5862376871074524	1.043577425728587	1.043577425728587	0.0	1.043577425728587	1.043577425728587	0.5466813417111951	0.08706354472409712	0.7897268280851399	0.043113877495797565	0.21232782183042198	0.1061955869765551	0.5736363240114305	0.06643656893180595	0	0.5600088327258443	0.10852722746149551	0.7939810821092799	0.04923502407853915	0.2429929539662368	0.13660716862700145	0.5849062734863678	0.08506946807575719	0	0.535845343118399	0.08634344068326974	0.7844720477419928	0.042899110675165754	0.21428287823417297	0.11335457635688846	0.5653552514097163	0.06587114885911177	0	0.535845343118399	0.08634344068326974	0.7844720477419928	0.042899110675165754	0.21428287823417297	0.11335457635688846	0.5653552514097163	0.06587114885911177	0
x0874_x1093	x0874	x1093	1101	20.0	10	10	10	1	0.1	9	0.9	9	1.0	9	0	2	7	0	6.2	6.0	3.155242550986462	1.0	11.0	0.6051392810088463	0.5456349206349207	0.1557385298836862	0.5	1.0	0.5551392810088462	0.5456349206349207	0.24685346265476624	0.0	1.0	1.897990458604062	2.0607855298405013	0.6723100076816753	0.317579911203465	2.534078925369136	1.17310454171691	1.303199918107718	0.39093982107410913	0.20893415210754276	1.4908161824035966	0.618179461677799	0.11968330912429082	0.7460973638492002	0.08360734852876889	0.2756924254834818	0.11291906598434577	0.5070525638280182	0.10158142050159241	0	0.4692964128486046	0.08500023358850588	0.7745521154720915	0.0431254212174978	0.1912259379362286	0.157711480212381	0.5118263437627297	0.07089281968930104	0	0.4648416063471716	0.08890956100445281	0.7651515161737117	0.03313759864469796	0.21122482492290068	0.1532400917080411	0.5084749064771512	0.07434819692027912	0	0.43242450894165935	0.0	0.811736832513213	0.0	0.010730710270822688	0.0	0.47536820721178263	0.0	0
x0874_x1093	x0874	x1093	1101	50.0	10	10	10	1	0.1	9	0.9	8	0.8888888888888888	9	0	5	3	1	6.0	5.5	3.2998316455372216	1.0	12.0	0.6132149653888784	0.5833333333333333	0.2206279752223389	0.30434782608695654	1.0	0.5632149653888784	0.5833333333333333	0.2936939632499675	0.0	1.0	1.4880941574851263	1.8601843994615153	1.2505107459618097	0.1906331555632424	3.446007254780523	0.867152020305356	1.0277261875477985	0.7029201968587995	0.1308995618436463	1.9359591318991702	0.5982418375219692	0.11677763184314185	0.7088133453875237	0.06947472413208869	0.2591305654837259	0.11010709941289953	0.4457085232831436	0.07469352748744959	0	0.5116914339543871	0.1932639704151377	0.7687877605734129	0.07617438902037685	0.24028868136324583	0.29012175971542875	0.4926084424266858	0.07983950174751464	1	0.45013242434678324	0.10221161937077668	0.7510951662089277	0.06233445646845593	0.16055145314572808	0.15286938160390537	0.47581920274126893	0.07691584192068487	0	0.43242450894165935	0.0	0.811736832513213	0.0	0.010730710270822688	0.0	0.47536820721178263	0.0	0
x0874_x1093	x0874	x1093	1101	100.0	10	10	10	1	0.1	8	0.8	7	0.875	9	0	8	1	0	5.7	6.0	2.406010991015812	1.0	9.0	0.5649356923269967	0.48214285714285715	0.19598858529237495	0.4	1.0	0.4570785494698538	0.45436507936507936	0.31917351976830166	0.0	1.0	0.7238264154898868	0.25703307180205476	0.8306588410827548	0.04949747468305967	2.3489225189435285	0.4922849795928561	0.16910070513293077	0.5766272063529632	0.03256412808096031	1.6541707879884004	0.5982528405775493	0.09469306881060714	0.6947589031152608	0.06966084460285651	0.2514578625835341	0.10970947120551273	0.4210767666039052	0.09188009789876883	0	0.48288173572884047	0.19107660706862095	0.782645137391268	0.07508768466663313	0.1829503988040104	0.2974115553723219	0.5120739903717381	0.07237116804061049	1	0.40540981429798306	0.049587234997025595	0.7573987332444693	0.06406542803717537	0.10383518890443766	0.08882340360205905	0.481153716077618	0.043489299307166655	0	0.43242450894165935	0.0	0.811736832513213	0.0	0.010730710270822688	0.0	0.47536820721178263	0.0	0
x0874_x1093	x0874	x1093	1101	200.0	10	10	10	1	0.1	9	0.9	9	1.0	9	0	7	1	1	6.1	6.0	2.766867462592951	1.0	10.0	0.5645032101553841	0.5	0.187507664077238	0.391304347826087	1.0	0.514503210155384	0.5	0.25947282601131966	0.0	1.0	0.7066336003213981	0.19348901777620367	1.1151655479160578	0.0467974358271904	3.2063555635643413	0.4648905265272356	0.12729540643171294	0.7336615446816169	0.030787786728414736	2.1094444497133824	0.5964992554524696	0.09463797823870167	0.6913000683665146	0.08817121879146626	0.2586520356813481	0.11823458207153464	0.4263900961147369	0.12431110890106332	0	0.4045276258557883	0.08260390389184101	0.7561275010141227	0.06158669356436755	0.12190116989341565	0.10244297649568822	0.47577118947904173	0.03460282995883705	0	0.3929586409310055	0.07855326007434858	0.7446765657277076	0.05283835575802356	0.13433003913470676	0.10034201496888344	0.4683777353634168	0.027056694716962117	0	0.43242450894165935	0.0	0.811736832513213	0.0	0.010730710270822688	0.0	0.47536820721178263	0.0	0
x0874_x1093	x0874	x1093	2202	0.0	10	10	10	9	0.9	10	1.0	10	1.0	1	0	1	0	0	1.1	1.0	0.31622776601683794	1.0	2.0	0.9888888888888889	1.0	0.03513641844631534	0.8888888888888888	1.0	0.9888888888888889	1.0	0.03513641844631534	0.8888888888888888	1.0	1.5742671310803622	1.5742671310803622	0.0	1.5742671310803622	1.5742671310803622	1.035702059921291	1.035702059921291	0.0	1.035702059921291	1.035702059921291	0.5759019011790096	0.0989226525898423	0.7863956105981781	0.06455139400860017	0.26077939675566325	0.10285654994185577	0.5775447426647558	0.08007164311295488	0	0.572983917791703	0.10216856861466307	0.7852983201904029	0.06541347903924044	0.26239594364071617	0.10235327658722942	0.5736644896988576	0.08050814626473897	0	0.572983917791703	0.10216856861466307	0.7852983201904029	0.06541347903924044	0.26239594364071617	0.10235327658722942	0.5736644896988576	0.08050814626473897	0	0.5856274354185378	0.09972366776292033	0.7909523035422276	0.06673944828895274	0.2647820296923222	0.10826664563426655	0.5765078251322567	0.08485756040274739	0
x0874_x1093	x0874	x1093	2202	20.0	10	10	10	1	0.1	8	0.8	8	1.0	9	0	3	4	2	6.4	4.5	5.081557066709201	1.0	18.0	0.6115002860919376	0.6079854809437386	0.23472403824782695	0.24324324324324326	1.0	0.5482870728787245	0.6079854809437386	0.33641828790685213	0.0	1.0	2.1759310650157655	2.157800963944544	0.6238410256922651	1.3438772265352208	3.2779542400710846	1.4310947452670888	1.3314599026831646	0.38617970032433047	0.9463924130529724	2.2299008435857717	0.6034000395859052	0.11078773889580362	0.7154750800953574	0.049622435392678105	0.26824051767017	0.11295221619133713	0.45068773168874005	0.07090133218733574	0	0.466218941046304	0.0734164519117332	0.7756717184914403	0.0857571600828477	0.1686021546107141	0.08115341293308176	0.5084063762198094	0.09360513120752995	0	0.44723887559899217	0.06912008993920458	0.7565208843802927	0.08578909744177345	0.15640723276024304	0.08691089907207548	0.4822126950252159	0.08505976783365518	0	0.45174825174825173	0.0	0.7840101985066472	0.0	0.09133055169216504	0.0	0.4460532461466604	0.0	0
x0874_x1093	x0874	x1093	2202	50.0	10	10	10	1	0.1	9	0.9	9	1.0	9	0	6	1	2	6.4	6.0	3.977715704047013	1.0	14.0	0.5924583228666713	0.602852852852853	0.20564658816058154	0.3103448275862069	1.0	0.5614238401080507	0.602852852852853	0.2671666400317033	0.0	1.0	1.7001639619872781	1.580616651816627	1.2133969631388923	0.2812418887719256	3.5873625409205574	1.080136200865744	1.0398793761951493	0.7699377193506316	0.18502755840258261	2.360106934816156	0.5955845934004792	0.1007553842198898	0.6784031813097492	0.04661570535627898	0.2529233569202372	0.09095496314351464	0.3898581805105669	0.0818575518724085	0	0.47565386361276324	0.18591151499818456	0.7428045893411802	0.05790214470039418	0.1870623213301113	0.27637986394528236	0.41456712144110835	0.09614257312277684	1	0.41944507482876087	0.0577919851595665	0.7481170183759495	0.05877281902131411	0.10264405057262226	0.07590492684774264	0.442992439932973	0.036177796155345186	0	0.45174825174825173	0.0	0.7840101985066472	0.0	0.09133055169216504	0.0	0.4460532461466604	0.0	0
x0874_x1093	x0874	x1093	2202	100.0	10	10	10	1	0.1	8	0.8	6	0.75	9	0	8	1	0	6.9	6.0	3.665151201974256	1.0	15.0	0.5275668725850214	0.475	0.18410284468316598	0.35135135135135137	1.0	0.4033569259612817	0.42206477732793524	0.29792250881925714	0.0	1.0	0.5267392099394484	0.11275637454263934	0.848501932998041	0.023259406699226565	2.3772610289995506	0.3363923172389387	0.08230392302382433	0.5242856161509184	0.01582272564573236	1.3902111280699128	0.5835672146269764	0.105872980000773	0.6906192493391454	0.05533913797854031	0.2495651300722313	0.08167832299983556	0.41228755337304696	0.05876454924128935	0	0.5269863513473193	0.2470631466983516	0.7838186198936231	0.0471810998593758	0.24645114657047537	0.37451788124643565	0.47918568500982	0.05983833664984118	2	0.39132907574759357	0.05227310876627918	0.7802732542378621	0.017145145828745247	0.09694770452498024	0.07436310514995385	0.48497777552068766	0.042912153772178434	0	0.45174825174825173	0.0	0.7840101985066472	0.0	0.09133055169216504	0.0	0.4460532461466604	0.0	0
x0874_x1093	x0874	x1093	2202	200.0	10	10	10	1	0.1	10	1.0	8	0.8	9	0	7	1	1	6.6	6.5	3.238655413730965	1.0	11.0	0.5322335673787579	0.5075075075075075	0.22757678753230695	0.2692307692307692	1.0	0.505206540351731	0.4619883040935673	0.2519258093470608	0.1891891891891892	1.0	0.8998454121656395	0.31545998161414984	1.1242729933072335	0.04872371086031968	3.2356682462823656	0.6101474585524329	0.20753946158825648	0.7680344658882905	0.03205507293442084	2.201134861416575	0.6375066749539667	0.10794028979143688	0.7494464769283508	0.04351900771473857	0.3322058357876417	0.10461736212430296	0.5126404850948835	0.05339051829177998	0	0.5361972020789092	0.24055879180295858	0.8053234614864953	0.028950299156938867	0.24651997040765367	0.38896232691000415	0.5008721319341257	0.07777731568192885	2	0.4250367889387215	0.027553900090126853	0.7961710708077785	0.013181947888374295	0.07091368157206498	0.06643574809574171	0.4803453336742931	0.042179252208748484	0	0.45174825174825173	0.0	0.7840101985066472	0.0	0.09133055169216504	0.0	0.4460532461466604	0.0	0
