lambda_global	full_strict_dual_total	parent_strict_dual_total	anchor_strict_dual_total	connected_strict_dual_total
0.0	2	2	2	2
20.0	12	16	2	0
50.0	7	24	0	0
100.0	10	36	0	0
200.0	11	31	0	0
